,id,doctor_category,spec,specialities,doctor_specialization,degree,gender,education,education_add,detail_text,Обобщенный_отзыв
0,37154,high,хирург,"абдоминальный хирург, онколог, проктолог-онколог, хирург-онколог, хирург-проктолог, торакальный хирург, хирург, бариатрический хирург","эндовидеохирургия, лапароскопическая, роботическая (комплекс da Vinci SI) хирургия",Ph.D.Medicine,male,Военно-медицинская академия им.Кирова (1993),"<ul>
	<li>В 1987 году поступил на 2-й факультет ВМедА, которую закончил в 1993 г. После окончания академии служил на различных должностях в войсковых частях Ленинградского военного округа.</li>
	<li>С 1999 года &ndash; старший ординатор клиники торакальной хирургии ВМедА.</li>
	<li>С 2000 года &ndash; помощник начальника клиники торакальной хирургии по лечебной работе.</li>
	<li>В 2004 г. назначен на должность преподавателя кафедры торакальной (с 2005 г. госпитальной) хирургии.</li>
	<li>В 2004 году защитил диссертацию на соискание ученой степени кандидата медицинских наук по теме &laquo;Видеоторакоскопия в комплексном лечении спонтанного пневмоторакса&raquo;.</li>
	<li>Автор и соавтор 62 научных публикаций, в том числе руководств для врачей и учебно-методических пособий.</li>
	<li>Является членом Российского научного общества &laquo;Эндоскопическая хирургия&raquo;, Ассоциации хирургов Санкт-Петербурга.</li>
	<li>Сфера научных и клинических интереснов - эндовидеохирургия органов груди и живота, операции при онкологических заболеваниях.</li>
</ul>","<p>Является членом Российского и Европейского общества эндоскопических хирургов, Ассоциации хирургов Санкт-Петербурга, член ассоциации бариатрических хирургов. Проходил обучение и стажировки по лапароскопической и роботической (комплекс da Vinci SI) хирургии в ведущих клиниках США (Cleveland clinic Florida), Франции (IRCAD), Бельгии (JESSA), Кореи (KUMC).</p><p>Сфера научных и клинических интереснов - миниинвазивная (эндовидеохирургия, лапароскопическая и роботическая) органов груди и живота, операции при онкологических заболеваниях, метаболическая (бариатрическая) хирургия.</p><p>Обладает одним из крупнейших опытов робот-ассистированных операций в России. Работает на системе daVinciSI с августа 2013 г., робот-ассистированные оперативные вмешательства:</p> <ul> <li>на желудке (субтотальная резекция желудка при раке, продольная резекция, желудочное шунтирование при ожирении);</li> <li>на толстой и прямой кишке при злокачественных новообразованиях (гемиколэктомия, передняя резекция прямой кишки с выполнением тотальной мезоректумэктомии, брюшно-промежностная экстирпация)</li></ul>",нет отзыва
1,25242,none,гинеколог,"акушер-гинеколог, врач УЗД, гинеколог",лазерная медицина в гинекологии,none,female,Северо-Западный государственный медицинский университет им. И. И. Мечникова (1983),<ul><li><p>1984 г. — интернатура по специальности «Акушерство и гинекология» на базе СЗГМУ им. И. И. Мечникова</p><p><strong><em>Дополнительное образование:</em></strong></p></li><li><p>«Профпатология»</p></li><li><p>«Ультразвуковая диагностика в акушерско-гинекологической практике»</p></li><li><p>«Кольпоскопия с основами кольпоцитологии»</p></li><li><p>«Актуальные вопросы акушерства и гинекологии».</p></li></ul>,"<p>Специализируется на лечении&nbsp;гинекологических заболеваний: ЗППП, патологии шейки матки, бесплодие.&nbsp;Наталья Викторовна владеет методами кольпоскопии, криодеструкции, биопсии&nbsp;шейки матки, все виды малых гинекологических операций. Проводит&nbsp;прерывание беременности медикаментозным методом&nbsp;и методом вакуум-аспирации. Осуществляет УЗ-диагностику органов малого таза.</p>","Компетентный, профессиональный, спокойный доктор. Все подробно объясняет, отвечает на вопросы. Добросовестно выполняет УЗИ."
2,233365,none,гинеколог,"акушер-гинеколог, врач УЗД, гинеколог, гинеколог-эндокринолог",маммология,none,female,Ярославский государственный медицинский университет (1998),"<ul><li><p>1999 г. —&nbsp;интернатура «Акушерство и гинекология»,&nbsp;Второе медобъединение (г.Кострома)</p></li><li><p>2014 г. — повышение квалификации «Акушерство и гинекология» на базе Первого Московского государственного медицинского университета имени И.М. Сеченова</p></li><li><p>2014 г. — повышение квалификации&nbsp;«Шейка матки и вульвовагинальные болезни» на базе Российского университета дружбы народов</p></li><li><p>2014 г. — повышение квалификации&nbsp;«Гинекологическая эндокринология» на базн Научного центра акушерства, гинекологии и перинатологии РАМН</p></li><li><p>2014 г. — повышение квалификации «Патология шейки матки, эндометрия и молочной железы с основами кольпо- и гистероскопии» на базе Института повышения Квалификации Федерального управления Медбиоэкстрем</p></li><li><p>2015 г. —&nbsp;повышение квалификации «Ультразвуковая диагностика» на базе Федерального медицинского биофизического центра им. А.И. Бурназяна</p></li></ul>","<p> Анна Витальевна занимается диагностикой и лечением заболеваний репродуктивной системы, специализируется на эндокринных нарушениях в гинекологии. В компетенцию врача входят диагнозы:</p><ul><li><p>проблемы климактерического периода</p></li><li><p>бесплодие</p></li><li><p>патологии шейки матки</p></li><li><p>ИППП</p></li><li><p>эндометриоз и др.</p></li></ul><p>Владеет методами:</p><ul><li><p>удаление вульвовагинальных новообразований</p></li><li><p>кольпоскопия</p></li><li><p>биопсия шейки матки</p></li><li><p>УЗИ любых органов</p></li></ul><p>Проводит профилактические гинекологические осмотры (с забором мазков), ведет беременность.</p>",нет отзыва
3,7408,high,гинеколог,"акушер-гинеколог, гинеколог",УЗИ,none,female,Первый Санкт-Петербургский государственный медицинский университет им. академика И. П. Павлова (2000),"<ul><li><p>2002 г. –&nbsp;клиническая ординатура на базе СПб ГБУЗ «Городская Александровская&nbsp;больница», СПБГУЗ «Родильный дом № 13» (для беременных и рожениц с&nbsp;сердечно-сосудистой патологией)</p></li><li><p>2007 г. –&nbsp;присвоение второй квалификационной категории</p></li><li><p>2011 г. –&nbsp;присвоение первой квалификационной категории</p></li><li><p>2016 г. –&nbsp;присвоение высшей квалификационной категории</p></li></ul><p>Повышение квалификации:</p><ul><li><p>2002 г. –&nbsp;профессиональная переподготовка по циклу «Ультразвуковая диагностика (УЗД)»</p></li><li><p>2004 г. –&nbsp;сертификат участника 2-й Всероссийской междисциплинарной научно-&nbsp;практической конференции «Критические состояния в акушерстве и&nbsp;неонатологии</p></li><li><p>2006 г. –&nbsp;удостоверение участника 1 Международного конгресса по репродуктивной&nbsp;медицине под руководством академика РАМН профессора Л.В. Адамяна</p></li><li><p>2012 г. –&nbsp;стажировка в международном центре эндоскопической хирургии в&nbsp;г. Клермон Ферран, Франция (индивидуальный курс).</p></li><li><p>2019 г. – общероссийская школа «Интенсив по эндокринной гинекологии: от основ к&nbsp;высотам мастерства» (наличие сертификата обучающегося)</p></li><li><p>2018 г. –&nbsp;сертификат специалиста «Применение аутологичной плазмы в практике&nbsp;врача-гинеколога»</p></li><li><p>2007, 2012, 2015 г. – сертификационные циклы по специальности «Акушерство и гинекология»</p></li><li><p>2020,&nbsp;2008, 2013 г. –&nbsp;сертификационные циклы по специальности «Ультразвуковая диагностика»</p></li><li><p>2018,&nbsp;2022 г. –&nbsp;участник международного конгресса по результативной медицине под&nbsp;руководством профессора Л.В. Адамяна</p></li><li><p>Ежегодно:&nbsp;Международный учебный курс под эгидой ISUOG «Актуальные вопросы&nbsp;УЗД в акушерстве и гинекологии» (наличие сертификатов участника);</p></li><li><p>Международный конгресс «Оперативная гинекология – новые технологии»</p></li></ul>","<p>Владеет всеми методиками по ведению физиологических родов (включая роды с рубцом на матке, роды в тазовом предлежании, двойни), а также методиками ведения оперативного родоразрешения (включая полостные, выходные акушерские щипцы, вакуум-экстракция плода). Имеет опыт сопровождения беременных и гинекологических пациенток в амбулаторном звене.&nbsp;Владеет методикой лапароскопической операций по поводу внематочной беременности,&nbsp;апоплексии яичников, цистэкомий. Компетентна в наложении акушерских пессариев, швов на шейку матки при угрозе&nbsp;преждевременных родов, экстирпации матки.&nbsp;&nbsp;</p>","Замечательный доктор. Очень внимательная и любезная. Принимала роды, действовала быстро и грамотно по ситуации."
4,15857,high,гинеколог,"акушер-гинеколог, гинеколог",специалист по акушерской гематологии,Ph.D.Medicine,female,Северо-Западный государственный медицинский университет им. И. И. Мечникова (1977),"<ul> 	
  <li style=""text-align: justify;"">1979 г. — интернатура по специальности «Акушерство и гинекология»</li>
 	
  <li style=""text-align: justify;"">1985 г. — клиническая ординатура по специальности «Акушерство и гинекология» на базе НИИ АГиР им. Д. О. Отта</li>

  <li style=""text-align: justify;"">Защита кандидатской диссертации по теме «Гематологические факторы риска потери плода в амбулаторном акушерстве (тактика ведения беременных)»</li>
</ul>","<p style=""text-align: justify;"">Николаева Алла Ехильевна специализируется на диагностике и лечении нарушений свертывающей системы крови, возникающих при патологии беременности.&nbsp;</p><p style=""text-align: justify;"">Алла Ехильевна занимается подготовкой к беременности женщин с невынашиванием, наблюдает беременных после ЭКО, проводит коррекцию истмико-цервикальной недостаточности, занимается проблемами опущения внутренних половых органов, проводит малые гинекологические операции.</p>","Врач, оказывающий огромную поддержку, всегда находящийся на связи и доступно объясняющий. Вызывают доверие на 100%. Также есть отзывы, где врач отлично знает свою работу, дает исчерпывающую информацию по сложным вопросам (например, высокий АЧТВ). Есть и пустые отзывы с оценкой."
5,35312,first,гинеколог,"акушер-гинеколог, гинеколог",Ультразвуковая диагностика,none,female,Московская медицинская академия им. И. М. Сеченова (2006),"<ul><li><p>2007 г. – интернатура по специальности «Хирургия», Московская медицинская академия им И. М. Сеченова,</p></li><li><p>2009 г. – клиническая ординатура по специальности «Акушерство и гинекология», Санкт-Петербургский государственный университет,</p></li><li><p>2012 г. – цикл «Патология шейки матки. Основы кольпоскопии», СЗГМУ им И. И. Мечникова,</p></li><li><p>2013 г. – профессиональная переподготовка по специальности «Ультразвуковая диагностика», Санкт-Петербургский государственный университет,</p></li><li><p>2014 г. -&nbsp;сертификационный цикл по специальности «Акушерство и гинекология», СЗГМУ им И. И. Мечникова,</p></li><li><p>2017 г.&nbsp; - сертификационный цикл по специальности «Ультразвуковая диагностика (с актуальными вопросами в неонатологии), Санкт-Петербургский государственный педиатрический университет,</p></li><li><p>2019 г. -&nbsp;сертификационный цикл по специальности «Акушерство и гинекология», СЗГМУ им И. И. Мечникова.</p></li></ul>","<p>Вера Александровна занимается диагностикой, профилактикой и лечением гинекологических патологий: воспалительных заболеваний органов малого таза, заболеваний шейки матки, ИППП и пр. Осуществляет планирование и ведение беременности. В компетенции доктора:</p><ul><li><p>ведение осложненной беременности, в том числе после ВРТ</p></li><li><p>ведение беременных с ИЦН, в том числе хирургическая коррекция (наложение циркулярного шва на шейку матки)</p></li><li><p>ведение пациенток с привычным невынашиванием и бесплодием</p></li></ul>",нет отзыва
6,38454,none,гинеколог,"акушер-гинеколог, гинеколог",ультразвуковая диагностика,none,female,Первый Санкт-Петербургский государственный медицинский университет имени академика И. П. Павлова (2007),"<ul><li><p>2009 г. - клиническая ординатура на базе СПбМАПО по специальности ""Акушерство и гинекология"".</p></li></ul>","<p>Ведёт приём взрослых, беременных и детей.</p><p>Владеет методиками УЗ-диагностики, кардиотокографии плода.</p><p>В специализацию доктора входят:</p><ul><li><p>планирование и ведение беременности;</p></li><li><p>консультирование по вопросам контрацепции;</p></li><li><p>лечение урогенитальных инфекций;</p></li><li><p>диагностика и лечение гинекологических заболеваний - эндометрит, андексит, пельвиоперитонит, сальпингит, параметрит, ЗППП (гонорея, хламидиоз, трихомониаз).</p></li></ul>",нет отзыва
7,38467,high,гинеколог,"акушер-гинеколог, гинеколог",УЗИ,none,female,Первый Санкт-Петербургский государственный медицинский университет им. акад. И. П. Павлова (2004),"<ul><li><p>Сертификаты по кольпоскопии, ультразвуковой диагностике.</p></li></ul>","<p>Доктор специализируется на диагностике и лечении гинекологических заболеваний:</p><ul><li><p>ИППП;</p></li><li><p>патологии шейки матки;</p></li><li><p>воспалительные заболевания органов малого таза.</p></li></ul><p>Занимается планированием и ведением беременности. Владеет всеми методиками обследования гинекологических пациенток, включая УЗИ и кольпоскопию.</p>","Врач, которому понравился прием: все необходимые рекомендации даны, все разъяснено. Также есть нейтральная оценка без текста."
8,134313,high,гинеколог,"акушер-гинеколог, гинеколог",УЗИ,none,female,Санкт-Петербургский государственный медицинский университет им. акад. И.П. Павлова,,"<p>«Стараюсь создавать и поддерживать долгосрочные отношения с пациентами, призываю их заботиться о себе и своевременно обращаться к специалистам. Профилактика нарушений всегда предпочтительнее даже самого современного лечения», — говорит Юлия Эдуардовна.</p><p>Акушер-гинеколог с более чем 20-летней практикой, Юлия Эдуардовна уверена, что одна из граней профессионализма врача — способность оказать всю возможную помощь и поддержку в процессе решения проблемы, с которой пациентка обратилась на приём. Умение применять широкий спектр современных методик позволяет ей проводить эффективное лечение, основываясь на индивидуальных диагностических данных.</p><p>Юлия Эдуардовна&nbsp;— профессионал с большой буквы, знающий современные стандарты обследования и лечения пациенток, постоянно использующий на практике самые передовые достижения мировой науки. В полной мере владеет методиками гинекологической эндокринологии, выполняет офисную гистероскопию.</p><p>Юлия Эдуардовна ведёт приём как детский гинеколог. Занимается лечением и профилактикой гинекологических заболеваний, эндокринопатиями и расстройствами пищевого поведения у подростков.</p><p>Главная и важная составляющая приёма врача — умение расположить и вызвать доверие у маленькой пациентки, ведь даже обычные заболевания у детей могут вызвать страх перед врачебным осмотром, не говоря уже о гинекологических проблемах.</p><p>Юлия Эдуардовна посвящает свободное время самосовершенствованию в профессии: регулярно участвует в специализированных конференциях, семинарах, обменивается опытом с коллегами. Профессиональные и личные качества врача, такие как уверенность, терпение, настойчивость и сопереживание, помогают ей завоевывать расположение пациентов, которые, в свою очередь, не раз с благодарностью отмечали, что выбранная сфера деятельности — истинное призвание Юлии Эдуардовны.</p>",нет отзыва
9,138847,high,гинеколог,"акушер-гинеколог, гинеколог",УЗИ,none,female,Самарский государственный медицинский университет (1985),"<ul><li><p>1987 г. — интернатура по специальности «Акушерство и гинекология» на базе ТюмГМИ </p></li></ul><p><strong><em>Дополнительное образование:</em></strong></p><ul><li><p>2007 г. — профессиональная переподготовка по специальности «Ультразвуковая диагностика», Санкт-Петербургская медицинская академия последипломного образования </p></li><li><p>2022 г. — «Акушерство и гинекология», Северо-Западный государственный медицинский университет имени И.И. Мечникова</p></li><li><p>2023 г. — «Невынашивание беременности: избранные вопросы», Северо-Западный государственный медицинский университет имени И.И. Мечникова</p></li></ul>","<p>Занимается диагностикой и лечением заболеваний женской репродуктивной системы: эндометриоз, миома матки, поликистоз яичников, воспалительные заболевания органов малого таза.</p>",нет отзыва
