ID_врача,Обобщенный_отзыв
37888,"Грамотный и внимательный специалист. Подходит к осмотру и лечению тщательно, не назначает лишних диагностик. Лечение эффективное, пациенты получают ясное понимание своих проблем."
7589,"Врач с исключительным человеческим отношением, проявляет понимание и профессионализм в сложных ситуациях. Пациенты выражают огромную благодарность за помощь."
23338,"Противоречивые отзывы: с одной стороны, отмечается чуткое и заинтересованное отношение, готовность найти решение. С другой - серьезные нарекания на провоцирование осложнений, нервозную обстановку и недоброжелательность персонала."
226155,"Упоминается как профессор, доктор медицинских наук. Информации о качестве приема в отзывах недостаточно."
8263,"Противоречивые отзывы о педиатрах этого ID. Одни пациенты называют врача ""суперпедиатром"" и ""чудесным неонатологом"", другие сообщают о неправильно поставленном диагнозе ребенку и назначении ненужных серьезных лекарств."
239107,"Врач, вылечивший пациента от давней проблемы. Грамотно назначенное лечение привело к многолетней ремиссии. Также упоминается как заведующий отделением, которого советуют."
49660,"Внимательный доктор, помог разобраться с посттравматическими проблемами. Пациенты хотели бы больше таких специалистов. В другом отзыве также отмечается, что врач разобрался в проблеме и помог ее решить."
333329,"Врач от Бога с ""легкой рукой"". Процедуры проходят быстро, с превосходным результатом и хорошим заживлением. Пациенты возвращаются неоднократно, так как результат проверен на практике."
216409,"Врач, помогающий в решении проблем с мужским здоровьем (подвижность сперматозоидов). Лечение эффективное, позволяет планировать беременность. Также есть отзывы только с оценкой без текста."
239055,"Врач с ""золотыми руками"", высококвалифицированный специалист. Проводит сложные операции (в гинекологии), справляется с тяжелыми случаями, где другие врачи разводят руками. Пациенты чувствуют доверие и уверенность."
23261,"Врач, который ставит точный диагноз и назначает эффективное лечение, приводящее к долгосрочному результату (проблемы не беспокоят год). Есть и критический отзыв, где пациента оскорбляли и унижали."
15857,"Врач, оказывающий огромную поддержку, всегда находящийся на связи и доступно объясняющий. Вызывают доверие на 100%. Также есть отзывы, где врач отлично знает свою работу, дает исчерпывающую информацию по сложным вопросам (например, высокий АЧТВ). Есть и пустые отзывы с оценкой."
217784,"Очень толковый и грамотный врач, который доступно ""раскладывает все по полочкам"". Пациентам нравится прием."
135187,"Внимательный врач, оказывающий оперативную и эффективную помощь. Делает операции (удаление камня, андрологические проблемы), которые решают долговременные проблемы."
60993,"Врач, которому доверяют в сложных ситуациях (наблюдение после операции на сердце). Отмечается чуткое и доброжелательное отношение, помогающее в реабилитации. Есть и негативный отзыв о отделении в целом: равнодушие, отсутствие информации о лечении, плохой уход."
323922,"Замечательный, доброжелательный и приятный врач. Быстро и точно определяет проблему, назначает необходимые обследования и эффективное лечение. Доступно все объясняет. Пациенты находят ""своего врача"" и планируют наблюдаться дальше."
61335,"Специалист с ""Большой буквы"". Пациенты бесконечно благодарны за успешно проведенную сложную операцию (эндопротезирование) и отзывчивое, человеческое отношение."
28563,"Противоречивые отзывы. С одной стороны, отмечается сочувственное отношение, помощь в выборе ортопедических средств. С другой - серьезные претензии к компетенции: назначение противопоказанных при диагнозе рекомендаций, что расценено как профанация. В третьем отзыве - нейтральная оценка с замечаниями по задержкам и сомнительным рекомендациям."
157540,"Очень компетентный врач, часто называемый ""врачом от Бога"". Ставит точный диагноз (например, подкожный клещ вместо розации) там, где другие не могли годами, назначает недорогое и эффективное лечение. Помогает и при аллергическом дерматите. Пациенты выражают огромную благодарность."
228274,Отзывы содержат только оценку без текстового комментария.
315395,"Врач, обладающий профессионализмом, внимательным отношением к больным, терпением и спокойствием. Выражают огромную благодарность и низкий поклон."
228437,"Врач от Бога, грамотный специалист и замечательный человек. Помогает в сложных случаях ЭКО, после предыдущих неудач. Пациенты безумно благодарны за рождение ""чуда""."
215774,"Хороший врач, имеет свою клинику. Есть отзывы о successfully проведенных операциях (ФА), после которых пациента отпускают домой в тот же день."
37752,"Нейрохирург, которого называют ""хирургом от бога"". Проводит успешные операции, снимающие изматывающие боли, после которых пациенты жалеют, что не обратились раньше."
167538,"Резко негативный отзыв. Врач обвиняется в отсутствии контакта с ребенком, формальном осмотре, недовольстве и раздражении в ответ на вопросы родителей, нежелании проводить запланированное лечение и грубости. Создается впечатление работы на конвейере без уважения к клиенту."
229233,"Врач, оставляющий только положительные впечатления. Отмечается высокий профессионализм и приятное, располагающее отношение."
233849,Отзывы содержат только оценку без текстового комментария.
16239,"Врач, вселяющий надежду на излечение от хронических проблем (крапивница), когда другие специалисты не давали результата. Предупреждает о необходимости терпения, первые положительные изменения есть. Также отмечается своя методика, которая ""действительно РАБОТАЕТ"", выявляет неочевидные причины дискомфорта."
181055,"Врач с ""золотыми руками"", помог справиться с хронической проблемой (заложенность носа), мучившей несколько лет. Проведенная операция дала отличный результат. Пациент очень благодарен."
138809,"Врач от Бога, которого редко встретишь. Очень добрый, внимательный, отзывчивый. Сама договаривается со страховой, поддерживает добрым словом. Также отмечается как отличный специалист, старающийся назначить прием в удобное время, все объясняющий по ходу осмотра."
